activity,county,date,score,state
badminton,New York,2020-05-27 00:00:00,-0.17235714285714285,New York
badminton,New York,2020-05-20 00:00:00,-0.2118875,New York
bowling,New York,2020-06-03 00:00:00,-0.36074230769230764,New York
bowling,New York,2020-05-27 00:00:00,0.16034193548387093,New York
bowling,New York,2020-05-20 00:00:00,0.04380769230769232,New York
bowling,Franklin,2020-05-27 00:00:00,-0.9957,Ohio
boxing,Kings,2020-05-20 00:00:00,-0.7144642857142856,New York
boxing,New York,2020-06-03 00:00:00,0.3286343749999999,New York
boxing,New York,2020-05-27 00:00:00,0.009171999999999975,New York
boxing,New York,2020-05-20 00:00:00,-0.10568596491228072,New York
dancing,Los Angeles,2020-05-20 00:00:00,-0.22473750000000003,California
dancing,Queens,2020-06-03 00:00:00,-0.7171285714285714,New York
dancing,Wayne,2020-06-03 00:00:00,-0.4542090909090909,Michigan
dancing,New York,2020-06-03 00:00:00,-0.5796923076923076,New York
dancing,New York,2020-05-27 00:00:00,-0.4205628571428572,New York
dancing,New York,2020-05-20 00:00:00,-0.1599636363636364,New York
dancing,Wake,2020-06-03 00:00:00,-0.9616714285714286,North Carolina
dancing,Prince George's,2020-06-03 00:00:00,-0.7554444444444444,Maryland
eating,Los Angeles,2020-06-03 00:00:00,0.022209090909090914,California
eating,Los Angeles,2020-05-27 00:00:00,0.28009,California
eating,Los Angeles,2020-05-20 00:00:00,-0.29606956521739136,California
eating,Cook,2020-06-03 00:00:00,0.518744578313253,Illinois
eating,Cook,2020-05-27 00:00:00,-0.4245914893617022,Illinois
eating,Cook,2020-05-20 00:00:00,-0.2373195652173912,Illinois
eating,San Diego,2020-05-27 00:00:00,-0.35822857142857145,California
eating,San Diego,2020-05-20 00:00:00,0.07329999999999999,California
eating,Orange,2020-05-20 00:00:00,0.14670769230769232,Florida
eating,Dallas,2020-05-27 00:00:00,0.9897999999999999,Texas
eating,Queens,2020-05-20 00:00:00,-0.9985363636363634,New York
eating,King,2020-05-20 00:00:00,-0.4237357142857143,Washington
